Date,EEM,GLD,SPY,TLT,VNQ
2020-01-03,-0.018567108429366708,0.013268521727000326,-0.0075720166802716316,0.01540032185971496,0.0062158456824097374
2020-01-06,-0.0024482548015609673,0.010489502076611812,0.003815049727655895,-0.005678557263233186,0.0011923483441744764
2020-01-07,-0.0006693092361272912,0.003935150508558971,-0.002811670552556489,-0.004916012849983553,-0.011149978522459136
2020-01-08,0.005804889307641226,-0.007501524641443713,0.005329622850345217,-0.006610461767984299,0.003065492827411198
2020-01-09,0.0066592109188508,-0.005651653463197515,0.006780574376513471,0.003509954096321488,-0.0005459043953713882
2020-01-10,0.005292088917852933,0.006026192495848015,-0.0028775191674035305,0.008891079345530573,0.007643699885260924
2020-01-13,0.015573673994989656,-0.007419483430124996,0.006877142397030633,-0.0030334803221767626,0.012028839003532354
2020-01-14,-0.0056155723787080225,-0.0008915435213457945,-0.0015244501514853903,0.005143610613377758,-0.0037480845947910346
2020-01-15,-0.007819165001934136,0.005834242779070742,0.0022596553278102505,0.00663170770438426,0.009028504552066607
2020-01-16,0.0063484985020927365,-0.0015695082440052577,0.008318474927321517,-0.003150554366854741,0.007989050301046463
2020-01-17,0.005655789026683289,0.0018454259925253513,0.003112613112626228,-0.008547970852082809,0.0009507680603442203
2020-01-21,-0.025308149980616035,0.0010915790702048511,-0.0019581451736205846,0.010505157485844796,0.009501883861776195
2020-01-22,0.008211200456024192,0.0003406555206315609,0.00012062631595766149,0.003513184569956307,-0.00669329849169753
2020-01-23,-0.010345655576462498,0.002248122121045526,0.0011468168846020532,0.007001964711277786,0.008422673191551322
2020-01-24,-0.008007185799325689,0.005845572586286041,-0.008892859609697656,0.008088933294889245,-0.00344516010379059
2020-01-27,-0.03452898390051373,0.006825312844883635,-0.0160299080976517,0.015554407861849251,-0.004819216929654591
2020-01-28,0.008360396672676185,-0.008926785569624784,0.010479459246890421,-0.007831160252724678,0.004000506740260201
2020-01-29,0.004836530195680533,0.005417872354848807,-0.0008261291960517392,0.009779041960896073,-0.0036701697671848166
2020-01-30,-0.014897862329545486,6.732120695107646e-05,0.003245357886125788,0.0001386760831110223,0.000736697605884018
